County FIPS Code,Median Household Income,"Poverty Percent, All Ages","Percent of adults with a bachelor's degree or higher, 2012-2016",Alzheimer's Disease/Dementia,Arthritis,Asthma,Atrial Fibrillation,COPD,Cancer,Chronic Kidney Disease,Depression,Diabetes,Heart Failure,Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke,Tobacco Consumption,% Excessive drinking,Median Age ,% Obese Adults,CHD
51,46290,15.2,47.312,10.8674,29.8483,3.6774,8.3773,12.5825,8.2289,10.7685,11.3951,24.6702,16.1445,41.128,52.6055,27.9683,4.0073,3.1332,3.8588,18,20,27.2,32,0
53,51861,11.2,18.029,8.2742,24.1135,2.9945,6.6982,14.6572,6.383,12.3719,12.4507,27.502,14.0268,40.0315,56.1072,29.2356,3.7037,2.5217,3.6249,15,19,30.5,33,1
55,40246,21.5,12.014,9.045,30.0541,3.1351,6.5586,13.8378,7.3514,11.1712,13.982,26.6306,17.0811,39.5315,55.3153,34.1261,3.2793,2.7748,3.0991,17,19,33.7,28,1
57,49503,14.7,22.48,8.3842,27.5137,4.1279,8.7215,11.9499,8.7857,11.9178,11.2111,25.0241,17.7642,45.0209,57.1314,33.7135,5.6858,2.6341,4.433,17,20,36,30,1
59,39634,20.5,13.567,11.5095,25.6796,1.4459,6.1307,18.3343,7.1718,12.7241,10.8733,21.6888,16.0787,27.646,53.0943,30.6536,4.3378,3.4124,4.5113,17,18,36.4,31,1
61,44378,15.1,17.382,8.6544,24.7757,3.1398,7.124,11.6623,7.7309,11.029,11.7678,22.2164,16.6227,37.124,52.4011,27.6781,4.8813,3.4828,3.219,17,19,34,28,0
63,71969,7.9,15.272,10.6987,48.7991,11.2445,8.952,23.1441,4.5852,11.2445,14.4105,29.476,25.655,45.4148,56.8777,41.8122,5.6769,3.2751,4.476,15,22,38.4,29,0
65,47855,14.4,16.435,7.8279,25.2468,3.385,5.9944,15.0917,8.2511,10.5078,10.0141,21.0155,15.4443,38.0113,49.2948,37.5882,4.0197,1.481,3.7377,15,19,36.4,30,0
67,51721,12,11.513,8.5693,30.0542,3.1889,7.1534,11.9306,8.2984,10.9086,10.9456,22.1374,16.7939,42.6496,51.2558,30.5467,5.245,3.3366,3.8414,14,19,41.4,28,0
69,39143,21.9,11.161,8.7578,30.9563,4.0256,8.7742,13.0135,7.8705,13.2764,11.5511,25.0082,18.0578,42.4088,56.7039,32.9773,6.211,2.5961,4.7486,17,17,38.3,29,0
71,47792,11.7,21.773,8.7043,28.3512,3.1957,5.6578,11.1042,6.8764,15.419,12.8575,24.9813,13.6285,37.9632,57.0629,28.4506,5.0609,4.1781,3.1584,14,19,35.1,31,1
73,55287,11.5,15.73,9.4479,31.1656,3.0061,6.9325,14.7239,10,12.6994,11.6564,24.3558,17.1779,42.2699,58.9571,29.6933,5.3374,2.3926,3.0675,15,19,42.6,30,1
75,47589,13.3,19.599,11.0537,27.3471,4.321,6.7471,16.9681,8.5415,13.7525,12.8625,26.7729,16.9107,38.5444,58.2544,33.3477,5.8714,3.2587,4.1918,15,18,37.5,31,1
77,34982,23.4,11.321,9.6724,24.4438,2.6267,6.644,12.6391,7.2621,11.0321,13.7206,27.9666,17.707,47.8986,61.5266,39.4932,5.4697,3.7701,4.11,20,19,42.3,34,1
79,51120,10.7,13.27,8.2058,20.6369,2.0821,8.1751,6.9198,7.1953,7.7159,9.9816,20.8512,11.635,40.3858,48.4078,22.5352,3.9192,2.6332,3.0312,14,20,41.1,32,1
81,45746,15.8,21.271,7.957,30.5376,2.9677,6.7957,14.7527,7.4409,13.5914,11.914,25.0323,13.8925,49.6344,59.914,31.1828,5.8065,2.0215,3.2688,16,19,36.6,30,1
83,57243,11.2,14.618,10.5046,25.9939,4.2901,8.4535,8.9624,7.9314,12.2717,13.3421,24.8689,15.4631,44.194,55.3255,27.8484,6.6252,3.436,4.0258,14,20,34,30,1
85,54169,9.9,35.905,10.0815,32.7922,4.4659,8.3078,12.2422,7.9785,16.7427,13.7096,26.3678,17.3494,46.2823,59.7608,34.5543,7.499,4.3157,4.3041,13,19,33,33,0
87,48359,14.4,18.265,8.7391,23.6312,3.8345,8.1327,8.3289,8.8283,11.3608,11.3073,23.4528,14.7673,45.1222,54.2893,28.4644,5.5466,1.8727,3.7275,17,19,32.7,30,0
89,73684,10.5,16.43,8.946,29.1386,5.4361,6.9663,14.5425,8.55,10.0803,12.1669,23.7025,14.1894,42.7073,52.4238,28.7319,5.2541,5.0722,4.1199,14,20,39.6,29,0
91,54624,14.2,18.38,8.7984,25.4998,3.3528,7.8978,11.5369,8.486,9.5898,10.5685,23.2039,16.5192,38.1976,55.8361,28.2018,6.6379,3.3892,3.5037,17,19,34.7,25,0
93,91952,4.6,24.102,11.4788,27.6157,3.9621,8.3375,9.7281,8.7365,11.077,10.8287,23.0494,15.4739,39.581,51.0095,28.4337,6.1965,3.434,4.1888,14,21,42.1,30,0
